page,verse_number,verse,title,variety,variety_glottocode,language,language_glottocode,lang_iso639.3,var_lang_rel
2,11,Jesus leur dit encore : Un homme avait deux fils.,"Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,12,"dont le plus jeune dit à son père : mon père, donnezmoi ce qui doit me revenir de votre bien. Et le père leur fit le partage de son bien.","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,13,"Peu de jours après, le plus jeune de ces deux fils, ayant amassé tout ce qu’il avait, s'en alla dans un pays étranger fort éloigné, où il dissipa tout son bien en excés et en débauches.","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,14,"Après qu’il eut tout dépensé, il survint une grande famine dans ce pays-là, et il commença à tomber en nécessité.","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,15,"Il s’en alla donc, et s’attacha au service d’un des habitants du pays, qui l'envoya dans sa maison des champs pour y garder les pourceaux.","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,16,Et là il eût été bien aise de remplir son ventre des cosses que les pourceaux mangeaient; mais personne ne lui en donnait.,"Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,17,"Enfin, étant rentré en lui-même, il dit : Combien y a-t-il, chez mon père, de serviteurs à gages qui ont plus de qu’il ne leur en faut; et moi je meurs ici de faim !","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,18,"Il faut que je me lève et que j'aille trouver mon père, et que je lui dise : mon père, j'ai pêché contre le ciel et contre vous;","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,19,et je ne suis plus digne d'être appelé votre fils; traitez-moi comme l’un des serviteurs qui sont à vos gages.,"Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,20,"Il se leva donc et vint trouver son père , et lorsqu'il était encore bien loin, son père l'aperçut et en fut touché de compassion ; et, courant à lui, il se jeta à son cou et le baisa ;","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,21,"et son fils lui dit : mon père, j'ai péché contre le ciel et contre vous ; et je ne suis plus digne d'être appelé votre fils.","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,22,Alors le père dit à ses serviteurs : apportez promptement la plus belle robe et l'en revêtez ; et mettez-lui un anneau au doigt et des souliers aux pieds ;,"Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,23,"amenez aussi le veau gras, et le tuez ; mangeons et faisons bonne chère :","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,24,"parce que mon fils que voici étail mort, et il est ressuscité ; il était perdu, et il est retrouvé. Ils commencèrent donc à faire festin.","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
